,question,bloom_cat_name
41,"Given a graph of a function, how can you estimate the average rate of change between two points?",Higher Order Thinking Skills
42,Why is it important to understand the concept of average rate of change in real-world situations?,Evaluation
43,What does the average rate of change of a function measure?,Remembering
44,"If a car travels 150 kilometers in 3 hours, what is its average rate of change in distance over time?",Understanding
45,How would you calculate the average rate of change of a function f(x) from x = 2 to x = 5?,Application
46,Why is the concept of average rate of change important in understanding real-world phenomena?,Higher Order Thinking Skills
47,Evaluate the statement: 'The average rate of change of a function is always constant.',Evaluation
48,Which of the following is related to Mechanical?,Remembering
49,Which of the following is used to write APIs?,Remembering
50,What is the SI unit of electric charge?,Remembering
51,Which of the following is NOT a property of electric charge?,Understanding
52,"Two charged objects are placed a certain distance apart. If the distance between the objects is doubled, what happens to the electric force between them?",Application
53,What is the difference between a conductor and an insulator?,Higher Order Thinking Skills
54,Why is it important to ground electrical equipment?,Evaluation
55,Which of the following materials allows electric current to flow through it easily?,Remembering
56,Which of the following materials does NOT allow electric current to flow through it easily?,Understanding
57,Which of the following devices uses a conductor to allow electric current to flow?,Application
58,Which of the following materials is a good conductor of heat but a poor conductor of electricity?,Higher Order Thinking Skills
59,Which of the following materials is used to insulate electrical wires?,Evaluation
60,What is the process of charging an object without direct contact called?,Remembering
61,What happens to the charges on the induced object when the inducing object is removed?,Understanding
62,How can you use charging by induction to charge a metal sphere positively?,Application
63,What is the main difference between charging by induction and charging by conduction?,Higher Order Thinking Skills
64,Which of the following is NOT a factor that affects the strength of the induced charge?,Evaluation
65,What is the SI unit of electric charge?,Remembering
66,Which of the following is a property of electric charge?,Understanding
67,"Two charged objects are placed a certain distance apart. If the distance between the objects is doubled, what happens to the electric force between them?",Application
68,An electron and a proton are placed in an electric field. Which of the following statements is true?,Higher Order Thinking Skills
69,Which of the following is NOT a consequence of the conservation of electric charge?,Evaluation
70,What is the SI unit of electric charge?,Remembering
71,Which of the following is NOT a property of electric charge?,Understanding
72,"Two charged objects are placed a certain distance apart. If the distance between the objects is doubled, what happens to the force between them?",Application
73,A positively charged object is brought near a neutral object. What will happen to the neutral object?,Higher Order Thinking Skills
74,Which of the following is the best way to discharge a capacitor?,Evaluation
75,What is the law of conservation of charge?,Remembering
76,What is the difference between a conductor and an insulator?,Understanding
77,What is the relationship between electric charge and electric field?,Application
78,What is the difference between a positive charge and a negative charge?,Higher Order Thinking Skills
79,What is the significance of the law of conservation of charge?,Evaluation
80,What is the smallest unit of electric charge?,Remembering
81,What is the charge of a proton?,Understanding
82,What is the net charge of an atom with 5 protons and 5 electrons?,Application
83,Why is electric charge quantized?,Higher Order Thinking Skills
84,What are the implications of the quantization of electric charge?,Evaluation
85,What is Coulomb's Inverse Square Law?,Remembering
86,What is the formula for Coulomb's Inverse Square Law?,Understanding
87,How can you use Coulomb's Inverse Square Law to calculate the force between two charges?,Application
88,What are some applications of Coulomb's Inverse Square Law?,Higher Order Thinking Skills
89,What are the limitations of Coulomb's Inverse Square Law?,Evaluation
90,Why is it important to ground an object before charging it by induction?,Evaluation
91,What is the total charge of two electrons?,Remembering
92,What is the net charge of a proton and an electron?,Understanding
93,"Three charges of -2e, +3e, and -e are placed at the corners of an equilateral triangle. What is the net force on the -2e charge?",Application
94,A positively charged particle is moving in a circular path in a magnetic field. What is the direction of the magnetic field?,Higher Order Thinking Skills
95,Which of the following statements about electric charges is false?,Evaluation
96,Can charging by induction be used to charge an object to a higher potential than the inducing object?,Evaluation
97,"Three charges of -2e, +3e, and -e are placed at the corners of an equilateral triangle. What is the net force on the -2e charge?",Application
98,What is the force between two positive charges?,Remembering
99,What is the relationship between the force between two charges and the distance between them?,Understanding
100,What is the force between a positive charge and a negative charge?,Application
101,What is the net force on a charge placed between two equal and opposite charges?,Higher Order Thinking Skills
102,What is the significance of Coulomb's law?,Evaluation
103,What is the electric field due to a point charge?,Remembering
104,What is the direction of the electric field due to a positive point charge?,Understanding
105,What is the electric field between two oppositely charged point charges?,Application
106,What is the electric field inside a conductor?,Higher Order Thinking Skills
107,What is the electric field due to a dipole?,Evaluation
108,What do electric field lines represent?,Remembering
109,What is the relationship between the density of electric field lines and the strength of the electric field?,Understanding
110,What is the direction of the electric field around a positive charge?,Application
111,What is the shape of the electric field lines around a dipole?,Higher Order Thinking Skills
112,Which of the following statements about electric field lines is false?,Evaluation
113,What is the electric field due to a point charge?,Remembering
114,What is the direction of the electric field due to a positive charge?,Understanding
115,What is the electric field due to a system of two charges?,Application
116,What is the electric field due to a uniformly charged sphere?,Higher Order Thinking Skills
117,What is the electric field due to a dipole?,Evaluation
118,What is the definition of electric flux?,Remembering
119,What is the SI unit of electric flux?,Understanding
120,What is the relationship between electric flux and electric field?,Application
121,What is the significance of electric flux?,Higher Order Thinking Skills
122,What are the applications of electric flux?,Evaluation
123,What is the SI unit of electric flux?,Remembering
124,What is the relationship between electric flux and the electric field?,Understanding
125,A uniform electric field of 100 N/C passes through a square surface of area 0.01 m^2. What is the electric flux through the surface?,Application
126,An electric field of 100 N/C is applied to a surface of area 0.01 m^2. What is the force exerted on the surface by the electric field?,Higher Order Thinking Skills
127,Which of the following statements about electric flux is false?,Evaluation
128,What is Gauss's Law?,Remembering
129,What is the mathematical form of Gauss's Law?,Understanding
130,How can Gauss's Law be used to calculate the electric field of a point charge?,Application
131,What are the limitations of Gauss's Law?,Higher Order Thinking Skills
132,What are the applications of Gauss's Law?,Evaluation
133,What is Gauss's Law?,Remembering
134,What is the mathematical form of Gauss's Law?,Understanding
135,How can Gauss's Law be used to calculate the electric field due to a point charge?,Application
136,What is the relationship between Gauss's Law and Coulomb's Law?,Higher Order Thinking Skills
137,Which of the following is NOT a limitation of Gauss's Law?,Evaluation
138,What is the electric field inside a hollow conducting sphere with charge Q?,Remembering
139,What is the electric field outside a uniformly charged sphere with radius R and charge Q?,Understanding
140,A point charge Q is placed at the center of a cube of side L. What is the electric flux through one of the faces of the cube?,Application
141,"A non-conducting sphere of radius R has a charge Q distributed uniformly throughout its volume. What is the electric field at a point inside the sphere, a distance r from the center?",Higher Order Thinking Skills
142,"A conducting sphere of radius R has a charge Q. What is the electric field at a point outside the sphere, a distance r from the center?",Evaluation
143,What is the direction of the electric field due to an infinite line charge?,Remembering
144,What is the magnitude of the electric field due to an infinite line charge?,Understanding
145,"A long, straight wire carries a current of 5 A. What is the magnitude of the electric field at a distance of 10 cm from the wire?",Application
146,Compare the electric field due to an infinite line charge to the electric field due to a point charge.,Higher Order Thinking Skills
147,An infinite line charge is used to create a uniform electric field. What is the advantage of using an infinite line charge over a point charge?,Evaluation
148,What is the electric field due to a uniformly charged infinite plane sheet?,Remembering
149,What is the direction of the electric field due to a uniformly charged infinite plane sheet?,Understanding
150,A uniformly charged infinite plane sheet has a charge density of 5 ?C/m^2. What is the electric field due to the sheet?,Application
151,Compare the electric field due to a uniformly charged infinite plane sheet to the electric field due to a point charge.,Higher Order Thinking Skills
152,A uniformly charged infinite plane sheet is used to create an electric field. What are the advantages and disadvantages of using a plane sheet instead of a point charge?,Evaluation
153,What is the electric field due to a uniformly charged thin spherical shell at a point outside the shell?,Remembering
154,What is the electric field due to a uniformly charged thin spherical shell at a point inside the shell?,Understanding
155,A uniformly charged thin spherical shell has a radius of 10 cm and a charge of 10 ?C. What is the electric field at a point 15 cm from the center of the shell?,Application
156,A uniformly charged thin spherical shell has a radius of 10 cm and a charge of 10 ?C. What is the electric field at a point 5 cm from the center of the shell?,Higher Order Thinking Skills
157,A uniformly charged thin spherical shell has a radius of 10 cm and a charge of 10 ?C. What is the electric field at a point 20 cm from the center of the shell?,Evaluation
158,What is the formula for the potential due to a point charge?,Remembering
159,What is the potential at a point that is 1 meter away from a charge of 1 coulomb?,Understanding
160,A point charge of 2 coulombs is placed at the origin. What is the potential at a point that is 2 meters away from the charge?,Application
161,Two point charges of 1 coulomb each are placed at a distance of 2 meters from each other. What is the potential at a point that is equidistant from the two charges?,Higher Order Thinking Skills
162,A point charge of 1 coulomb is placed at the origin. What is the potential at a point that is 1 meter away from the charge and on the x-axis?,Evaluation
163,What is the potential due to an electric dipole at a point on its axis?,Remembering
164,What is the direction of the electric field due to an electric dipole at a point on its axis?,Understanding
165,A dipole is placed in a uniform electric field. What is the torque acting on the dipole?,Application
166,What is the potential energy of an electric dipole in a uniform electric field?,Higher Order Thinking Skills
167,Which of the following statements about electric dipoles is false?,Evaluation
168,What is the potential due to a system of charges?,Remembering
169,What is the relationship between potential and electric field?,Understanding
170,How do you calculate the potential due to a system of charges?,Application
171,What is the significance of the potential due to a system of charges?,Higher Order Thinking Skills
172,Evaluate the potential due to a system of charges and explain its significance.,Evaluation
173,What is an equipotential surface?,Remembering
174,What is the shape of an equipotential surface around a point charge?,Understanding
175,How can you use equipotential surfaces to find the electric field?,Application
176,What is the significance of equipotential surfaces in electrostatics?,Higher Order Thinking Skills
177,Evaluate the usefulness of equipotential surfaces in understanding electric fields.,Evaluation
178,What is the relation between electric field and electric potential?,Remembering
179,What is the potential difference between two points in an electric field?,Understanding
180,A point charge of +1 ?C is placed at the origin. What is the electric potential at a distance of 1 m from the charge?,Application
181,Two point charges of +1 ?C and -1 ?C are placed at a distance of 1 m from each other. What is the electric potential at a point midway between the charges?,Higher Order Thinking Skills
182,Which of the following statements about the electric potential is true?,Evaluation
183,What is a conductor in electrostatics?,Remembering
184,What happens to the electric field inside a conductor in electrostatic equilibrium?,Understanding
185,What is the potential difference between two points inside a conductor in electrostatic equilibrium?,Application
186,What is the shape of a conductor in electrostatic equilibrium?,Higher Order Thinking Skills
187,What is the best way to discharge a conductor?,Evaluation
188,What is a dielectric material?,Remembering
189,What is polarization?,Understanding
190,What is the dielectric constant of a material?,Application
191,What is the relationship between the dielectric constant and the capacitance of a capacitor?,Higher Order Thinking Skills
192,What are the applications of dielectric materials?,Evaluation
193,What is the formula for energy stored in a capacitor?,Remembering
194,What happens to the energy stored in a capacitor when the voltage across it is doubled?,Understanding
195,A capacitor with a capacitance of 10 ?F is charged to a voltage of 10 V. What is the energy stored in the capacitor?,Application
196,Which of the following factors does NOT affect the energy stored in a capacitor?,Higher Order Thinking Skills
197,A capacitor is used to store energy in a camera flash. Why is a capacitor a suitable choice for this application?,Evaluation
198,What is the potential due to an electric dipole at a point on its axis?,Remembering
199,What is the direction of the electric field due to an electric dipole at a point on its axis?,Understanding
200,A dipole is placed in a uniform electric field. What is the torque acting on the dipole?,Application
201,What is the potential energy of an electric dipole in a uniform electric field?,Higher Order Thinking Skills
202,Which of the following is NOT a property of an electric dipole?,Evaluation
203,What is the potential due to a system of charges?,Remembering
204,What is the relationship between potential and electric field?,Understanding
205,How do you calculate the potential due to a point charge?,Application
206,What is the significance of the potential due to a system of charges?,Evaluation
207,What is an equipotential surface?,Remembering
208,What is the relationship between equipotential surfaces and electric field lines?,Understanding
209,How can you use equipotential surfaces to find the electric field?,Application
210,What is the significance of equipotential surfaces in electrostatics?,Higher Order Thinking Skills
211,How can you use equipotential surfaces to solve problems involving electric fields?,Evaluation
212,What is an equipotential surface?,Remembering
213,What is the relationship between equipotential surfaces and electric field lines?,Understanding
214,What is an example of an equipotential surface?,Application
215,What is the significance of equipotential surfaces in electrostatics?,Higher Order Thinking Skills
216,How can equipotential surfaces be used to solve problems in electrostatics?,Evaluation
217,What is the potential energy of a single charge?,Remembering
218,What is the formula for the potential energy of a single charge?,Understanding
219,A charge of 2 C is placed at a point where the electric potential is 10 V. What is the potential energy of the charge?,Application
220,What is the relationship between the potential energy of a charge and the distance from the charge?,Higher Order Thinking Skills
221,Which of the following statements about the potential energy of a single charge is false?,Evaluation
222,What is the potential energy of a system of charges?,Remembering
223,What is the formula for the potential energy of a system of charges?,Understanding
224,"What is the potential energy of a system of two charges, each with a charge of +1 C, separated by a distance of 1 m?",Application
225,What is the effect of increasing the distance between two charges on the potential energy of the system?,Higher Order Thinking Skills
226,What is the significance of the potential energy of a system of charges?,Evaluation
227,What is the potential energy of a charge in an external electric field?,Remembering
228,What is the formula for the potential energy of a charge in an external electric field?,Understanding
229,A charge of +2 ?C is placed in an electric field of 1000 V/m. What is the potential energy of the charge?,Application
230,A proton and an electron are placed in the same electric field. Which particle has the greater potential energy?,Higher Order Thinking Skills
231,Which of the following statements about potential energy in an external electric field is false?,Evaluation
232,Which of the following materials is a good conductor of electricity?,Remembering
233,What happens to the electric field inside a conductor?,Understanding
234,A metal sphere is placed in an electric field. What will happen to the charges on the sphere?,Application
235,Why do conductors have a shiny surface?,Higher Order Thinking Skills
236,Which of the following is NOT a property of conductors?,Evaluation
237,What is the purpose of electrostatic shielding?,Remembering
238,What is the principle behind electrostatic shielding?,Understanding
239,How can electrostatic shielding be used in practice?,Application
240,What are the limitations of electrostatic shielding?,Higher Order Thinking Skills
241,Evaluate the effectiveness of electrostatic shielding in protecting electronic devices from electromagnetic interference (EMI).,Evaluation
242,What is the process of charging an object without direct contact called?,Remembering
243,What happens to the charges on the induced object when the inducing object is removed?,Understanding
244,How can you increase the charge induced on an object?,Application
245,What is the difference between charging by induction and charging by conduction?,Higher Order Thinking Skills
246,Why is it important to ground an object before touching it after it has been charged by induction?,Evaluation
247,What is a capacitor?,Remembering
248,What is the unit of capacitance?,Understanding
249,What is the formula for capacitance?,Application
250,What is the effect of increasing the plate area of a capacitor?,Higher Order Thinking Skills
251,Which of the following is NOT a factor that affects the capacitance of a capacitor?,Evaluation
252,What is the formula for the capacitance of a parallel plate capacitor?,Remembering
253,What is the effect of increasing the distance between the plates of a parallel plate capacitor?,Understanding
254,A parallel plate capacitor has a capacitance of 10 ?F. What is the charge stored on the capacitor when the voltage across the capacitor is 10 V?,Application
255,A parallel plate capacitor is connected to a battery. What happens to the capacitance of the capacitor when the battery is disconnected?,Higher Order Thinking Skills
256,Which of the following factors does NOT affect the capacitance of a parallel plate capacitor?,Evaluation
257,What is the formula for energy stored in a capacitor?,Remembering
258,What happens to the energy stored in a capacitor when the voltage across it is doubled?,Understanding
259,A capacitor with a capacitance of 10 ?F is charged to a voltage of 10 V. What is the energy stored in the capacitor?,Application
260,Which of the following factors does NOT affect the energy stored in a capacitor?,Higher Order Thinking Skills
261,A capacitor is used to store energy in a camera flash. Why is a capacitor a suitable choice for this application?,Evaluation
262,What is the principle behind the working of a Van de Graaff Generator?,Remembering
263,What is the purpose of the moving belt in a Van de Graaff Generator?,Understanding
264,How can you increase the charge stored on the sphere of a Van de Graaff Generator?,Application
265,What are the applications of a Van de Graaff Generator?,Higher Order Thinking Skills
266,What are the limitations of a Van de Graaff Generator?,Evaluation
267,What is the purpose of a Van de Graaff Generator?,Remembering
268,How does a Van de Graaff Generator work?,Understanding
269,What is the maximum voltage that a Van de Graaff Generator can produce?,Application
270,What are some of the applications of Van de Graaff Generators?,Higher Order Thinking Skills
271,What are the advantages and disadvantages of using a Van de Graaff Generator?,Evaluation
272,What is the SI unit of electric current?,Remembering
273,"What is the relationship between current, voltage, and resistance in a circuit?",Understanding
274,What is the effect of increasing the length of a conductor on its resistance?,Application
275,What is the difference between a conductor and an insulator?,Higher Order Thinking Skills
276,Why is it important to use fuses or circuit breakers in electrical circuits?,Evaluation
277,What is the formula for drift velocity?,Remembering
278,What is the direction of drift velocity?,Understanding
279,What is the effect of increasing the electric field on drift velocity?,Application
280,What is the relationship between drift velocity and current?,Higher Order Thinking Skills
281,What is the significance of drift velocity in electrical circuits?,Evaluation
282,What is the relation between current and drift velocity?,Remembering
283,What is the unit of drift velocity?,Understanding
284,What is the effect of temperature on drift velocity?,Application
285,What is the relation between drift velocity and cross-sectional area?,Higher Order Thinking Skills
286,What is the relation between drift velocity and electric field?,Evaluation
287,What is the SI unit of mobility?,Remembering
288,What is the relationship between mobility and conductivity?,Understanding
289,"A copper wire has a length of 10 m and a cross-sectional area of 1 mm?. If the mobility of electrons in copper is 0.003 m?/(V?s), what is the resistance of the wire?",Application
290,Why is mobility an important property of semiconductors?,Higher Order Thinking Skills
291,Which of the following factors can affect the mobility of charge carriers in a material?,Evaluation
292,What is Ohm's Law?,Remembering
293,What is the SI unit of resistance?,Understanding
294,A resistor has a resistance of 10 ohms. What is the current flowing through the resistor when a voltage of 5 volts is applied across it?,Application
295,Why is Ohm's Law important?,Higher Order Thinking Skills
296,What are the limitations of Ohm's Law?,Evaluation
297,What is the main limitation of Ohm's Law?,Remembering
298,Why does Ohm's Law not apply to semiconductors?,Understanding
299,What is the difference between a linear conductor and a non-linear conductor?,Application
300,Why is it important to understand the limitations of Ohm's Law?,Higher Order Thinking Skills
301,Which of the following is NOT a limitation of Ohm's Law?,Evaluation
302,What is the SI unit of resistivity?,Remembering
303,Which of the following materials has the highest resistivity?,Understanding
304,"A wire of length L and cross-sectional area A has a resistance R. If the length of the wire is doubled, what will be the new resistance?",Application
305,Why is it important to use materials with low resistivity for electrical wires?,Higher Order Thinking Skills
306,Evaluate the following statement: 'Resistivity and conductivity are inversely proportional to each other.',Evaluation
307,What is the effect of temperature on the resistivity of a conductor?,Remembering
308,Which of the following materials has the highest resistivity?,Understanding
309,A wire has a resistance of 10 ohms at room temperature. What will be its resistance if the temperature is increased by 50 degrees Celsius?,Application
310,Why does the resistivity of a semiconductor decrease with increasing temperature?,Higher Order Thinking Skills
311,Which of the following factors does NOT affect the temperature dependence of resistivity?,Evaluation
312,Which of the following materials has the highest resistivity?,Remembering
313,What is the unit of resistivity?,Understanding
314,How can you increase the resistance of a wire?,Application
315,Why is nichrome used in heating elements?,Higher Order Thinking Skills
316,Which of the following is NOT a factor that affects the resistivity of a material?,Evaluation
317,What is the total resistance of two resistors connected in series?,Remembering
318,What is the total resistance of two resistors connected in parallel?,Understanding
319,A circuit has two resistors connected in series. The first resistor has a resistance of 10 ohms and the second resistor has a resistance of 15 ohms. What is the total resistance of the circuit?,Application
320,A circuit has two resistors connected in parallel. The first resistor has a resistance of 10 ohms and the second resistor has a resistance of 15 ohms. What is the total resistance of the circuit?,Higher Order Thinking Skills
321,Which of the following statements about resistors is true?,Evaluation
322,What is the effect of temperature on the resistance of a conductor?,Remembering
323,Which of the following materials has the highest temperature coefficient of resistance?,Understanding
324,"A resistor has a resistance of 10 ohms at room temperature. If the temperature of the resistor increases by 50 degrees Celsius, what will be its new resistance?",Application
325,Explain why the resistance of a semiconductor decreases with increasing temperature.,Higher Order Thinking Skills
326,Evaluate the statement: 'The temperature dependence of resistance is the same for all materials.',Evaluation
327,What is the term used to describe the potential difference between the terminals of a cell when no current is flowing?,Remembering
328,Which of the following factors does NOT affect the EMF of a cell?,Understanding
329,A cell has an EMF of 1.5 V and an internal resistance of 0.5 ?. What is the terminal voltage of the cell when it is delivering a current of 1 A?,Application
330,Explain why the EMF of a cell is always greater than its terminal voltage.,Higher Order Thinking Skills
331,Discuss the factors that affect the internal resistance of a cell.,Evaluation
332,What is the term used to describe the resistance offered by a cell to the flow of current through it?,Remembering
333,Which of the following factors affects the internal resistance of a cell?,Understanding
334,How can the internal resistance of a cell be reduced?,Application
335,What is the effect of internal resistance on the terminal voltage of a cell?,Higher Order Thinking Skills
336,Why is it important to consider the internal resistance of a cell when designing a circuit?,Evaluation
337,What is the terminal voltage of a cell?,Remembering
338,What is the relationship between the terminal voltage and the internal resistance of a cell?,Understanding
339,How can you increase the terminal voltage of a cell?,Application
340,What is the significance of the terminal voltage of a cell?,Higher Order Thinking Skills
341,Which of the following factors does NOT affect the terminal voltage of a cell?,Evaluation
342,What happens to the current when cells are connected in series?,Remembering
343,What happens to the voltage when cells are connected in parallel?,Understanding
344,How can you increase the current in a circuit?,Application
345,What is the advantage of connecting cells in parallel?,Higher Order Thinking Skills
346,Which of the following is NOT a factor that affects the current in a circuit?,Evaluation
347,What is Kirchhoff's Current Law (KCL)?,Remembering
348,What is the purpose of KCL?,Understanding
349,How can KCL be used to solve a circuit problem?,Application
350,What are some limitations of KCL?,Higher Order Thinking Skills
351,How does KCL compare to Kirchhoff's Voltage Law (KVL)?,Evaluation
352,What is Kirchhoff's Voltage Law (KVL)?,Remembering
353,What is the purpose of KVL?,Understanding
354,How can KVL be used to solve circuit problems?,Application
355,What are some limitations of KVL?,Higher Order Thinking Skills
356,How can KVL be used to improve circuit design?,Evaluation
357,What is the sum of the currents entering a junction equal to?,Remembering
358,What does Kirchhoff's Voltage Law state?,Understanding
359,A battery with a voltage of 12 V is connected to a resistor with a resistance of 6 ohms. What is the current through the resistor?,Application
360,A circuit has two resistors connected in parallel. The first resistor has a resistance of 6 ohms and the second resistor has a resistance of 12 ohms. What is the equivalent resistance of the circuit?,Higher Order Thinking Skills
361,Which of the following is NOT a limitation of Kirchhoff's Laws?,Evaluation
362,What is the condition for a Wheatstone bridge to be balanced?,Remembering
363,What is the purpose of a Wheatstone bridge?,Understanding
364,How can you use a Wheatstone bridge to measure an unknown resistance?,Application
365,What are the limitations of a Wheatstone bridge?,Higher Order Thinking Skills
366,What are the advantages of using a Wheatstone bridge?,Evaluation
367,What is the purpose of a meter bridge?,Remembering
368,What is the condition for balancing a meter bridge?,Understanding
369,"A meter bridge is balanced when the jockey is at the 30 cm mark. If the resistance of the known resistor is 10 ohms, what is the resistance of the unknown resistor?",Application
370,What are the advantages of using a meter bridge over other methods of measuring resistance?,Higher Order Thinking Skills
371,What are the limitations of using a meter bridge?,Evaluation
372,What is the purpose of a Wheatstone Bridge?,Remembering
373,What is the condition for a Wheatstone Bridge to be balanced?,Understanding
374,How can you use a Wheatstone Bridge to measure an unknown resistance?,Application
375,What are the advantages of using a Wheatstone Bridge to measure resistance?,Higher Order Thinking Skills
376,What are the limitations of using a Wheatstone Bridge to measure resistance?,Evaluation
377,What is the principle of a potentiometer?,Remembering
378,What is the application of a potentiometer?,Understanding
379,How can a potentiometer be used to measure the internal resistance of a cell?,Application
380,What is the difference between a potentiometer and a voltmeter?,Higher Order Thinking Skills
381,What are the advantages of using a potentiometer over a voltmeter?,Evaluation
382,Which of the following is the formula for comparing the EMF of two cells?,Remembering
383,What does the balancing length of a cell represent?,Understanding
384,How can you use a potentiometer to compare the EMF of two cells?,Application
385,What is the significance of the null point in a potentiometer experiment?,Higher Order Thinking Skills
386,Which of the following factors can affect the accuracy of a potentiometer experiment?,Evaluation
387,What is the purpose of using a potentiometer in determining the internal resistance of a cell?,Remembering
388,What is the condition for balancing a potentiometer?,Understanding
389,How can you use a potentiometer to determine the internal resistance of a cell?,Application
390,What are the limitations of using a potentiometer to determine the internal resistance of a cell?,Higher Order Thinking Skills
391,Why is it important to determine the internal resistance of a cell?,Evaluation
392,What is the direction of the magnetic force on a positive charge moving in a magnetic field?,Remembering
393,What is the magnitude of the magnetic force on a charge moving in a magnetic field?,Understanding
394,A proton is moving in a magnetic field. What is the direction of the magnetic force on the proton?,Application
395,A charged particle is moving in a magnetic field. What is the effect of the magnetic field on the particle?,Higher Order Thinking Skills
396,What is the relationship between the magnetic force on a charged particle and the strength of the magnetic field?,Evaluation
397,What is the direction of the magnetic force on a positive charge moving in a magnetic field?,Remembering
398,What is the shape of the path of a charged particle moving in a uniform magnetic field?,Understanding
399,A proton is moving in a magnetic field. What will happen to the proton if the magnetic field is increased?,Application
400,An electron is moving in a magnetic field. What will happen to the electron if the magnetic field is reversed?,Higher Order Thinking Skills
401,"A charged particle is moving in a magnetic field. What is the relationship between the strength of the magnetic field, the velocity of the particle, and the radius of the circle in which the particle moves?",Evaluation
402,What is the shape of the path of a charged particle moving in a uniform magnetic field?,Remembering
403,What is the direction of the magnetic force on a positively charged particle moving in a magnetic field?,Understanding
404,A charged particle is moving in a magnetic field. What will happen to the particle if the magnetic field is suddenly increased?,Application
405,A charged particle is moving in a magnetic field. What will happen to the particle if the magnetic field is suddenly reversed?,Higher Order Thinking Skills
406,A charged particle is moving in a magnetic field. What is the work done by the magnetic field on the particle?,Evaluation
407,What is a cyclotron?,Remembering
408,What is the purpose of the magnetic field in a cyclotron?,Understanding
409,What is the shape of the path of a charged particle in a cyclotron?,Application
410,What is the relationship between the frequency of the electric field and the frequency of the cyclotron?,Higher Order Thinking Skills
411,What are the advantages of using a cyclotron over other particle accelerators?,Evaluation
412,What is the Biot-Savart Law used to calculate?,Remembering
413,What is the direction of the magnetic field created by a current-carrying wire?,Understanding
414,How can you use the Biot-Savart Law to calculate the magnetic field at the center of a circular loop of wire?,Application
415,What is the relationship between the magnetic field created by a current-carrying wire and the distance from the wire?,Higher Order Thinking Skills
